index,reviewer_name,review_id,profile_href,star,time,text
0,Marjolaine G,ChZDSUhNMG9nS0VJQ0FnSURtN2VqZlN3EAE,https://www.google.com/maps/contrib/113850596119072306903/reviews?hl=en-US,5,       10 months ago      ,"        Vietnamese fusion restaurant with a funky atmosphere. Friendly and fast service, flavourful food and generous cocktails. Lots of vegetarian and vegan options as well. Overall, really happy with my meal here. The vegan banh mi burger is indulgent and flavourful (split it with a friend as a starter). I had the Mee Kola noodles which are on the sweeter side and definitely satisfying.
     
"
1,Pierre Ngo,ChZDSUhNMG9nS0VJQ0FnSUMtNzQ3X1d3EAE,https://www.google.com/maps/contrib/117663521289922755797/reviews?hl=en-US,5,       a month ago      ,"        The food and drinks were really yummy and comforting to the stomach! The service was excellent and the employees were really helpful and friendly! I really liked the decoration and vibe of the place (really felt cozy). I will comeback here again :)
     
"
2,Willowspritew W,ChZDSUhNMG9nS0VJQ0FnSURlN2JXOVh3EAE,https://www.google.com/maps/contrib/108817066228445046864/reviews?hl=en-US,5,       2 months ago      ,"        The cocktail drinks are excellent here. We came as a group of friends for the ramen festival and tried their Cheesy Ramen, which turned out to be amazing. It was a brothless ramen that had cheese sauce and had toppings of cheese curd with fish tofu. It was quite spicy but so good it made you want to continue eating despite the spice. The drinks, my husband and I ordered the C'est Saké Ça with was quite nice with a frothy top and a nice scent of lime. Boisson d'avril had a nice orange base with a nice kick of Tabasco sauce that went well with the Amaretto. Meanwhile, the Tofu fa was a boozy ginger ale with a hint of maple syrup. The bartender also offered our group some shots of green tea whisky which was quite refreshing. Be prepared for a bit of a wait if you come at their busier time, this place is quite popular.
     
"
3,Khash A.,ChdDSUhNMG9nS0VJQ0FnSUQybjllTHdBRRAB,https://www.google.com/maps/contrib/105332578504281268361/reviews?hl=en-US,3,       6 months ago      ,"        The overall experience was positive and I'm glad I tried it, but ultimately not special enough for a second visit in my opinion. I ordered Imperial rolls, the lobster ramen Mac'n'cheese, the sate drip poutine and the Flintstone pho. My major complaint was that it simply wasn't enough food. The waiters touted it to be some behemoth amount of food, but in reality one dish per person wasn't enough (which would normally be ok if 1. The amount of food wasn't hyped and 2. The price wasn't so high). We shared the dishes among 3 people, and we were still very much hungry after. The second problem was that the food was not hot. The poutine and ramen dishes weren't even hot enough to melt the cheese. It took a while for the food to come out so I'm thinking they might have just sat at the counter for a while before coming. Either way, it lead to a less than ideal tasting experience. My favorite dish was the Sate drip poutine, the sauce was unique and had some Hawaiian flavors to it. I just wish it was hotter. The Flintstone pho wasn't a regular pho on ""crack"" as the menu puts it. It was missing the flavors that an actual pho place would give you. Yes they gave you an extra meat bone, but my complaint for pho was never the amount of meat.
     
"
4,Tracy Schmidt,ChZDSUhNMG9nS0VJQ0FnSUNldTRPUktBEAE,https://www.google.com/maps/contrib/116995066668564097099/reviews?hl=en-US,5,       2 months ago      ,"        FANTASTIC!!! Really interesting, balanced flavors, rich and satisfying without being too heavy. Service was great too - helpful, informative, and warm. Wish I could eat here all the time!
     
"
5,J Ortega,ChdDSUhNMG9nS0VJQ0FnSUNXcjktUHpRRRAB,https://www.google.com/maps/contrib/107202913340005014967/reviews?hl=en-US,4,       9 months ago      ,"        When there with gf, It's been an awesome experience to taste a Vietnamese version of poutine which is not very easy to do.  But this restaurant did an amazing job to combine both Vietnam and Quebec cuisine.  I strongly recommend coming in.
     
"
6,Trong Anh Vu,ChdDSUhNMG9nS0VJQ0FnSUQ2d2YzUTR3RRAB,https://www.google.com/maps/contrib/117435985363696796508/reviews?hl=en-US,5,       a year ago      ,"        Really nice atmosphere to enjoy cozy food and drinks. They serve some traditional vietnamese dishes with a modern twist. They serve award winning poutine which are definitely worth the try. Highly recommend!
     
"
7,Ruofan Yin,ChdDSUhNMG9nS0VJQ0FnSUR1NFBtU25BRRAB,https://www.google.com/maps/contrib/116009919834155650570/reviews?hl=en-US,4,       4 months ago      ,"        We waited for 45min before getting the food. The taste was alright, I really liked a special dish they had which was fried mussels with rice and fries, beautiful presentation as well. The pho was pretty plain, not much flavour compared to other restaurants and the beef was not easy to chew. Very nice vibe though!
     
"
8,Richly Tran,ChZDSUhNMG9nS0VJQ0FnSUNHdW9xTEJBEAE,https://www.google.com/maps/contrib/109337893899374268202/reviews?hl=en-US,4,       a year ago      ,"        Have been there only once, but ordered for take out many times, and I just love their 2 specialty poutines and their pandan crème brûlée! These are their must try items if you have not tried them yet. Service is good and they put nice music. However, I can't give a perfect score because their bowl of pho that was disappointing: came lukewarm, very small portion for the price (for comparison: you pay more than what you would have paid for an XL bowl in a regular Vietnamese restaurant, but you only get about the 1/3 of the size of an XL bowl) and was lacking flavours. Bottom line: try their fusion food, they are sooo good; but you might find their traditional Vietnamese dishes so-so if you are Vietnamese/Vietnamese food connoisseur.
     
"
9,Sue W.,ChZDSUhNMG9nS0VJQ0FnSUM2OHNlVEtnEAE,https://www.google.com/maps/contrib/106533425901815975187/reviews?hl=en-US,5,       a year ago      ,"        Amazing experience, the owner is a gem and the food is flavorful and very original. The cocktails are delicious, definitely try the sake and also the ginger ones. This is the only asian fusion restaurant that i love.
     
"
